-128.9041,-256.3503,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-128.4884,-255.2494,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-128.0599,-254.1577,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-127.6188,-253.0754,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-127.1653,-252.0029,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-126.6994,-250.9405,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-126.2214,-249.8883,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-125.7315,-248.8466,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-125.2298,-247.8158,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-124.7166,-246.7961,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-124.1920,-245.7877,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-123.6563,-244.7909,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-123.1096,-243.8060,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-122.5522,-242.8331,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-121.9842,-241.8726,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-121.4059,-240.9247,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-120.8176,-239.9895,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-120.2194,-239.0674,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-119.6116,-238.1586,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-118.9943,-237.2632,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-118.3680,-236.3816,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-117.7327,-235.5138,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-117.0887,-234.6602,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-116.4363,-233.8209,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-115.7758,-232.9962,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-115.1073,-232.1861,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-114.4312,-231.3910,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-113.7477,-230.6109,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-113.0571,-229.8461,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-112.3597,-229.0967,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-111.6556,-228.3630,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-110.9452,-227.6450,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-110.2289,-226.9430,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-109.5067,-226.2570,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-108.7791,-225.5873,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-108.0463,-224.9339,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-107.3086,-224.2970,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-106.5663,-223.6768,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
-105.8196,-223.0734,171.4843,-4.7649,1.8863,0.7525,0.1000,1.0000,0.0000
